City,State,Country,Continent
Aachen,North Rhine-Westphalia,Germany,Europe
Albuquerque,NM,USA,North America
Anchorage,AK,USA,North America
Århus,Central Denmark,Denmark,Europe
Barcelona,Catalonia,Spain,Europe
Barquisimeto,Lara,Venezuela,South America
Bergamo,Lombardy,Italy,Europe
Berlin,Berlin,Germany,Europe
Bern,Bern,Switzerland,Europe
Boise,ID,USA,North America
Bräcke,Jämtland,Sweden,Europe
Brandenburg,Brandenburg,Germany,Europe
Bruxelles,Brussels-Capital,Belgium,Europe
Buenos Aires,Buenos Aires,Argentina,South America
Butte,MT,USA,North America
Campinas,SP,Brazil,South America
Caracas,Distrito Capital,Venezuela,South America
Charleroi,Wallonia,Belgium,Europe
Cork,County Cork,Ireland,Europe
Cowes,Isle of Wight,UK,Europe
Cunewalde,Saxony,Germany,Europe
Elgin,OR,USA,North America
Eugene,OR,USA,North America
Frankfurt a.M.,Hesse,Germany,Europe
Genève,Genève,Switzerland,Europe
Graz,Styria,Austria,Europe
Helsinki,Uusimaa,Finland,Europe
I. de Margarita,Nueva Esparta,Venezuela,South America
Kirkland,WA,USA,North America
Kobenhavn,Capital Region,Denmark,Europe
Köln,North Rhine-Westphalia,Germany,Europe
Lander,WY,USA,North America
Leipzig,Saxony,Germany,Europe
Lille,Hauts-de-France,France,Europe
Lisboa,Lisbon,Portugal,Europe
London,England,UK,Europe
Luleå,Norrbotten,Sweden,Europe
Lyon,Auvergne-Rhône-Alpes,France,Europe
Madrid,Comunidad de Madrid,Spain,Europe
Mannheim,Baden-Württemberg,Germany,Europe
Marseille,Provence-Alpes-Côte d'Azur,France,Europe
México D.F.,CDMX,Mexico,North America
Montréal,Québec,Canada,North America
München,Bavaria,Germany,Europe
Münster,North Rhine-Westphalia,Germany,Europe
Nantes,Pays de la Loire,France,Europe
Oulu,Northern Ostrobothnia,Finland,Europe
Paris,Île-de-France,France,Europe
Portland,OR,USA,North America
Reggio Emilia,Emilia-Romagna,Italy,Europe
Reims,Grand Est,France,Europe
Resende,SP,Brazil,South America
Rio de Janeiro,RJ,Brazil,South America
Salzburg,Salzburg,Austria,Europe
San Cristóbal,Táchira,Venezuela,South America
San Francisco,CA,USA,North America
Sao Paulo,SP,Brazil,South America
Seattle,WA,USA,North America
Sevilla,Andalusia,Spain,Europe
Stavern,Vestfold,Norway,Europe
Strasbourg,Grand Est,France,Europe
Stuttgart,Baden-Württemberg,Germany,Europe
Torino,Piedmont,Italy,Europe
Toulouse,Occitanie,France,Europe
Tsawassen,BC,Canada,North America
Vancouver,BC,Canada,North America
Versailles,Île-de-France,France,Europe
Walla Walla,WA,USA,North America
Warszawa,Masovian,Poland,Europe
