CustomerKey,OrderDateKey,ProductKey,ShipperKey,SupplierKey,EmployeeKey,OrderId,UnitSalesAmount,UnitPriceDiscountPercent,UnitPriceDiscountAmount,Quantity,GrossSalesAmount,TotalDiscountAmount,NetSalesAmount,FreightAmount
1085,19960704,2011,5003,4003,3005,10248,14,.00,0,12,168,0,168,32.38
1085,19960704,2042,5003,4013,3005,10248,9.8,.00,0,10,98,0,98,32.38
1085,19960704,2072,5003,4007,3005,10248,34.8,.00,0,5,174,0,174,32.38
1079,19960705,2014,5001,4016,3006,10249,18.6,.00,0,9,167.4,0,167.4,11.61
1079,19960705,2051,5001,4009,3006,10249,42.4,.00,0,40,1696,0,1696,11.61
1034,19960708,2041,5002,4017,3004,10250,7.7,.00,0,10,77,0,77,65.83
1034,19960708,2051,5002,4009,3004,10250,42.4,.15,6.36,35,1484,222.6,1261.4,65.83
1034,19960708,2065,5002,4018,3004,10250,16.8,.15,2.52,15,252,37.8,214.2,65.83
1084,19960708,2022,5001,4023,3003,10251,16.8,.05,0.84,6,100.8,5.04,95.76,41.34
1084,19960708,2057,5001,4021,3003,10251,15.6,.05,0.78,15,234,11.7,222.3,41.34
1084,19960708,2065,5001,4018,3003,10251,16.8,.00,0,20,336,0,336,41.34
1076,19960709,2020,5002,4026,3004,10252,64.8,.05,3.24,40,2592,129.6,2462.3999,51.3
1076,19960709,2033,5002,4020,3004,10252,2,.05,0.1,25,50,2.5,47.5,51.3
1076,19960709,2060,5002,4008,3004,10252,27.2,.00,0,40,1088,0,1088,51.3
1034,19960710,2031,5002,4007,3003,10253,10,.00,0,20,200,0,200,58.17
1034,19960710,2039,5002,4001,3003,10253,14.4,.00,0,42,604.8,0,604.8,58.17
1034,19960710,2049,5002,4012,3003,10253,16,.00,0,40,640,0,640,58.17
1014,19960711,2024,5002,4025,3005,10254,3.6,.15,0.54,15,54,8.1,45.9,22.98
1014,19960711,2055,5002,4015,3005,10254,19.2,.15,2.88,21,403.2,60.48,342.72,22.98
1014,19960711,2074,5002,4028,3005,10254,8,.00,0,21,168,0,168,22.98
1068,19960712,2002,5003,4005,3009,10255,15.2,.00,0,20,304,0,304,148.33
1068,19960712,2016,5003,4022,3009,10255,13.9,.00,0,35,486.5,0,486.5,148.33
1068,19960712,2036,5003,4027,3009,10255,15.2,.00,0,25,380,0,380,148.33
1068,19960712,2059,5003,4008,3009,10255,44,.00,0,30,1320,0,1320,148.33
1088,19960715,2053,5002,4009,3003,10256,26.2,.00,0,15,393,0,393,13.97
1088,19960715,2077,5002,4024,3003,10256,10.4,.00,0,12,124.8,0,124.8,13.97
1035,19960716,2027,5003,4011,3004,10257,35.1,.00,0,25,877.5,0,877.5,81.91
1035,19960716,2039,5003,4001,3004,10257,14.4,.00,0,6,86.4,0,86.4,81.91
1035,19960716,2077,5003,4024,3004,10257,10.4,.00,0,15,156,0,156,81.91
1020,19960717,2002,5001,4005,3001,10258,15.2,.20,3.04,50,760,152,608,140.51
1020,19960717,2005,5001,4018,3001,10258,17,.20,3.4,65,1105,221,884,140.51
1020,19960717,2032,5001,4007,3001,10258,25.6,.20,5.12,6,153.6,30.72,122.88,140.51
1013,19960718,2021,5003,4026,3004,10259,8,.00,0,10,80,0,80,3.25
1013,19960718,2037,5003,4027,3004,10259,20.8,.00,0,1,20.8,0,20.8,3.25
1056,19960719,2041,5001,4017,3004,10260,7.7,.25,1.925,16,123.2,30.8,92.4,55.09
1056,19960719,2057,5001,4021,3004,10260,15.6,.00,0,50,780,0,780,55.09
1056,19960719,2062,5001,4006,3004,10260,39.4,.25,9.85,15,591,147.75,443.25,55.09
1056,19960719,2070,5001,4022,3004,10260,12,.25,3,21,252,63,189,55.09
1061,19960719,2021,5002,4026,3004,10261,8,.00,0,20,160,0,160,3.05
1061,19960719,2035,5002,4002,3004,10261,14.4,.00,0,20,288,0,288,3.05
1065,19960722,2005,5003,4018,3008,10262,17,.20,3.4,12,204,40.8,163.2,48.29
1065,19960722,2007,5003,4010,3008,10262,24,.00,0,15,360,0,360,48.29
1065,19960722,2056,5003,4021,3008,10262,30.4,.00,0,2,60.8,0,60.8,48.29
1020,19960723,2016,5003,4022,3009,10263,13.9,.25,3.475,60,834,208.5,625.5,146.06
1020,19960723,2024,5003,4025,3009,10263,3.6,.00,0,28,100.8,0,100.8,146.06
1020,19960723,2030,5003,4019,3009,10263,20.7,.25,5.175,60,1242,310.5,931.5,146.06
1020,19960723,2074,5003,4028,3009,10263,8,.25,2,36,288,72,216,146.06
1024,19960724,2002,5003,4005,3006,10264,15.2,.00,0,35,532,0,532,3.67
1024,19960724,2041,5003,4017,3006,10264,7.7,.15,1.155,25,192.5,28.875,163.625,3.67
1007,19960725,2017,5001,4022,3002,10265,31.2,.00,0,30,936,0,936,55.28
1007,19960725,2070,5001,4022,3002,10265,12,.00,0,20,240,0,240,55.28
1087,19960726,2012,5003,4003,3003,10266,30.4,.05,1.52,12,364.8,18.24,346.56,25.73
1025,19960729,2040,5001,4017,3004,10267,14.7,.00,0,50,735,0,735,208.58
1025,19960729,2059,5001,4008,3004,10267,44,.15,6.6,70,3080,462,2618,208.58
1025,19960729,2076,5001,4012,3004,10267,14.4,.15,2.16,15,216,32.4,183.6,208.58
1033,19960730,2029,5003,4024,3008,10268,99,.00,0,10,990,0,990,66.29
1033,19960730,2072,5003,4007,3008,10268,27.8,.00,0,4,111.2,0,111.2,66.29
1089,19960731,2033,5001,4020,3005,10269,2,.05,0.1,60,120,6,114,4.56
1089,19960731,2072,5001,4007,3005,10269,27.8,.05,1.39,20,556,27.8,528.2,4.56
1087,19960801,2036,5001,4027,3001,10270,15.2,.00,0,30,456,0,456,136.54
1087,19960801,2043,5001,4013,3001,10270,36.8,.00,0,25,920,0,920,136.54
1075,19960801,2033,5002,4020,3006,10271,2,.00,0,24,48,0,48,4.54
1065,19960802,2020,5002,4026,3006,10272,64.8,.00,0,6,388.8,0,388.8,98.03
1065,19960802,2031,5002,4007,3006,10272,10,.00,0,40,400,0,400,98.03
1065,19960802,2072,5002,4007,3006,10272,27.8,.00,0,24,667.2,0,667.2,98.03
1063,19960805,2010,5003,4028,3003,10273,24.8,.05,1.24,24,595.2,29.76,565.44,76.07
1063,19960805,2031,5003,4007,3003,10273,10,.05,0.5,15,150,7.5,142.5,76.07
1063,19960805,2033,5003,4020,3003,10273,2,.00,0,20,40,0,40,76.07
1063,19960805,2040,5003,4017,3003,10273,14.7,.05,0.735,60,882,44.1,837.9,76.07
1063,19960805,2076,5003,4012,3003,10273,14.4,.05,0.72,33,475.2,23.76,451.44,76.07
1085,19960806,2071,5001,4020,3006,10274,17.2,.00,0,20,344,0,344,6.01
1085,19960806,2072,5001,4007,3006,10274,27.8,.00,0,7,194.6,0,194.6,6.01
1049,19960807,2024,5001,4025,3001,10275,3.6,.05,0.18,12,43.2,2.16,41.04,26.93
1049,19960807,2059,5001,4008,3001,10275,44,.05,2.2,6,264,13.2,250.8,26.93
1080,19960808,2010,5003,4028,3008,10276,24.8,.00,0,15,372,0,372,13.84
1080,19960808,2013,5003,4016,3008,10276,4.8,.00,0,10,48,0,48,13.84
1052,19960809,2028,5003,4024,3002,10277,36.4,.00,0,20,728,0,728,125.77
1052,19960809,2062,5003,4006,3002,10277,39.4,.00,0,12,472.8,0,472.8,125.77
1005,19960812,2044,5002,4013,3008,10278,15.5,.00,0,16,248,0,248,92.69
1005,19960812,2059,5002,4008,3008,10278,44,.00,0,15,660,0,660,92.69
1005,19960812,2063,5002,4022,3008,10278,35.1,.00,0,8,280.8,0,280.8,92.69
1005,19960812,2073,5002,4027,3008,10278,12,.00,0,25,300,0,300,92.69
1044,19960813,2017,5002,4022,3008,10279,31.2,.25,7.8,15,468,117,351,25.83
1005,19960814,2024,5001,4025,3002,10280,3.6,.00,0,12,43.2,0,43.2,8.98
1005,19960814,2055,5001,4015,3002,10280,19.2,.00,0,20,384,0,384,8.98
1005,19960814,2075,5001,4024,3002,10280,6.2,.00,0,30,186,0,186,8.98
1069,19960814,2019,5001,4026,3004,10281,7.3,.00,0,1,7.3,0,7.3,2.94
1069,19960814,2024,5001,4025,3004,10281,3.6,.00,0,6,21.6,0,21.6,2.94
1069,19960814,2035,5001,4002,3004,10281,14.4,.00,0,4,57.6,0,57.6,2.94
1069,19960815,2030,5001,4019,3004,10282,20.7,.00,0,6,124.2,0,124.2,12.69
1069,19960815,2057,5001,4021,3004,10282,15.6,.00,0,2,31.2,0,31.2,12.69
1046,19960816,2015,5003,4016,3003,10283,12.4,.00,0,20,248,0,248,84.81
1046,19960816,2019,5003,4026,3003,10283,7.3,.00,0,18,131.4,0,131.4,84.81
1046,19960816,2060,5003,4008,3003,10283,27.2,.00,0,35,952,0,952,84.81
1046,19960816,2072,5003,4007,3003,10283,27.8,.00,0,3,83.4,0,83.4,84.81
1044,19960819,2027,5001,4011,3004,10284,35.1,.25,8.775,15,526.5,131.625,394.875,76.56
1044,19960819,2044,5001,4013,3004,10284,15.5,.00,0,21,325.5,0,325.5,76.56
1044,19960819,2060,5001,4008,3004,10284,27.2,.25,6.8,20,544,136,408,76.56
1044,19960819,2067,5001,4002,3004,10284,11.2,.25,2.8,5,56,14,42,76.56
1063,19960820,2001,5002,4005,3001,10285,14.4,.20,2.88,45,648,129.6,518.4,76.83
1063,19960820,2040,5002,4017,3001,10285,14.7,.20,2.94,40,588,117.6,470.4,76.83
1063,19960820,2053,5002,4009,3001,10285,26.2,.20,5.24,36,943.2,188.64,754.56,76.83
1063,19960821,2035,5003,4002,3008,10286,14.4,.00,0,100,1440,0,1440,229.24
1063,19960821,2062,5003,4006,3008,10286,39.4,.00,0,40,1576,0,1576,229.24
1067,19960822,2016,5003,4022,3008,10287,13.9,.15,2.085,40,556,83.4,472.6,12.76
1067,19960822,2034,5003,4002,3008,10287,11.2,.00,0,20,224,0,224,12.76
1067,19960822,2046,5003,4014,3008,10287,9.6,.15,1.44,15,144,21.6,122.4,12.76
1066,19960823,2054,5001,4015,3004,10288,5.9,.10,0.59,10,59,5.9,53.1,7.45
1066,19960823,2068,5001,4026,3004,10288,10,.10,1,3,30,3,27,7.45
1011,19960826,2003,5003,4005,3007,10289,8,.00,0,30,240,0,240,22.77
1011,19960826,2064,5003,4024,3007,10289,26.6,.00,0,9,239.4,0,239.4,22.77
1015,19960827,2005,5001,4018,3008,10290,17,.00,0,20,340,0,340,79.7
1015,19960827,2029,5001,4024,3008,10290,99,.00,0,15,1485,0,1485,79.7
1015,19960827,2049,5001,4012,3008,10290,16,.00,0,15,240,0,240,79.7
1015,19960827,2077,5001,4024,3008,10290,10.4,.00,0,10,104,0,104,79.7
1061,19960827,2013,5002,4016,3006,10291,4.8,.10,0.48,20,96,9.6,86.4,6.4
1061,19960827,2044,5002,4013,3006,10291,15.5,.10,1.55,24,372,37.2,334.8,6.4
1061,19960827,2051,5002,4009,3006,10291,42.4,.10,4.24,2,84.8,8.48,76.32,6.4
1081,19960828,2020,5002,4026,3001,10292,64.8,.00,0,20,1296,0,1296,1.35
1080,19960829,2018,5003,4022,3001,10293,50,.00,0,12,600,0,600,21.18
1080,19960829,2024,5003,4025,3001,10293,3.6,.00,0,10,36,0,36,21.18
1080,19960829,2063,5003,4022,3001,10293,35.1,.00,0,5,175.5,0,175.5,21.18
1080,19960829,2075,5003,4024,3001,10293,6.2,.00,0,6,37.2,0,37.2,21.18
1065,19960830,2001,5002,4005,3004,10294,14.4,.00,0,18,259.2,0,259.2,147.26
1065,19960830,2017,5002,4022,3004,10294,31.2,.00,0,15,468,0,468,147.26
1065,19960830,2043,5002,4013,3004,10294,36.8,.00,0,15,552,0,552,147.26
1065,19960830,2060,5002,4008,3004,10294,27.2,.00,0,21,571.2,0,571.2,147.26
1065,19960830,2075,5002,4024,3004,10294,6.2,.00,0,6,37.2,0,37.2,147.26
1085,19960902,2056,5002,4021,3002,10295,30.4,.00,0,4,121.6,0,121.6,1.15
1046,19960903,2011,5001,4003,3006,10296,16.8,.00,0,12,201.6,0,201.6,0.12
1046,19960903,2016,5001,4022,3006,10296,13.9,.00,0,30,417,0,417,0.12
1046,19960903,2069,5001,4020,3006,10296,28.8,.00,0,15,432,0,432,0.12
1007,19960904,2039,5002,4001,3005,10297,14.4,.00,0,60,864,0,864,5.74
1007,19960904,2072,5002,4007,3005,10297,27.8,.00,0,20,556,0,556,5.74
1037,19960905,2002,5002,4005,3006,10298,15.2,.00,0,40,608,0,608,168.22
1037,19960905,2036,5002,4027,3006,10298,15.2,.25,3.8,40,608,152,456,168.22
1037,19960905,2059,5002,4008,3006,10298,44,.25,11,30,1320,330,990,168.22
1037,19960905,2062,5002,4006,3006,10298,39.4,.00,0,15,591,0,591,168.22
1067,19960906,2019,5002,4026,3004,10299,7.3,.00,0,15,109.5,0,109.5,29.76
1067,19960906,2070,5002,4022,3004,10299,12,.00,0,20,240,0,240,29.76
1049,19960909,2066,5002,4018,3002,10300,13.6,.00,0,30,408,0,408,17.68
1049,19960909,2068,5002,4026,3002,10300,10,.00,0,20,200,0,200,17.68
1086,19960909,2040,5002,4017,3008,10301,14.7,.00,0,10,147,0,147,45.08
1086,19960909,2056,5002,4021,3008,10301,30.4,.00,0,20,608,0,608,45.08
1076,19960910,2017,5002,4022,3004,10302,31.2,.00,0,40,1248,0,1248,6.27
1076,19960910,2028,5002,4024,3004,10302,36.4,.00,0,28,1019.2,0,1019.2,6.27
1076,19960910,2043,5002,4013,3004,10302,36.8,.00,0,12,441.6,0,441.6,6.27
1030,19960911,2040,5002,4017,3007,10303,14.7,.10,1.47,40,588,58.8,529.2,107.83
1030,19960911,2065,5002,4018,3007,10303,16.8,.10,1.68,30,504,50.4,453.6,107.83
1030,19960911,2068,5002,4026,3007,10303,10,.10,1,15,150,15,135,107.83
1080,19960912,2049,5002,4012,3001,10304,16,.00,0,30,480,0,480,63.79
1080,19960912,2059,5002,4008,3001,10304,44,.00,0,10,440,0,440,63.79
1080,19960912,2071,5002,4020,3001,10304,17.2,.00,0,2,34.4,0,34.4,63.79
1055,19960913,2018,5003,4022,3008,10305,50,.10,5,25,1250,125,1125,257.62
1055,19960913,2029,5003,4024,3008,10305,99,.10,9.9,25,2475,247.5,2227.5,257.62
1055,19960913,2039,5003,4001,3008,10305,14.4,.10,1.44,30,432,43.2,388.8,257.62
1069,19960916,2030,5003,4019,3001,10306,20.7,.00,0,10,207,0,207,7.56
1069,19960916,2053,5003,4009,3001,10306,26.2,.00,0,10,262,0,262,7.56
1069,19960916,2054,5003,4015,3001,10306,5.9,.00,0,5,29.5,0,29.5,7.56
1048,19960917,2062,5002,4006,3002,10307,39.4,.00,0,10,394,0,394,0.56
1048,19960917,2068,5002,4026,3002,10307,10,.00,0,3,30,0,30,0.56
1002,19960918,2069,5003,4020,3007,10308,28.8,.00,0,1,28.8,0,28.8,1.61
1002,19960918,2070,5003,4022,3007,10308,12,.00,0,5,60,0,60,1.61
1037,19960919,2004,5001,4018,3003,10309,17.6,.00,0,20,352,0,352,47.3
1037,19960919,2006,5001,4010,3003,10309,20,.00,0,30,600,0,600,47.3
1037,19960919,2042,5001,4013,3003,10309,11.2,.00,0,2,22.4,0,22.4,47.3
1037,19960919,2043,5001,4013,3003,10309,36.8,.00,0,20,736,0,736,47.3
1037,19960919,2071,5001,4020,3003,10309,17.2,.00,0,3,51.6,0,51.6,47.3
1077,19960920,2016,5002,4022,3008,10310,13.9,.00,0,10,139,0,139,17.52
1077,19960920,2062,5002,4006,3008,10310,39.4,.00,0,5,197,0,197,17.52
1018,19960920,2042,5003,4013,3001,10311,11.2,.00,0,6,67.2,0,67.2,24.69
1018,19960920,2069,5003,4020,3001,10311,28.8,.00,0,7,201.6,0,201.6,24.69
1086,19960923,2028,5002,4024,3002,10312,36.4,.00,0,4,145.6,0,145.6,40.26
1086,19960923,2043,5002,4013,3002,10312,36.8,.00,0,24,883.2,0,883.2,40.26
1086,19960923,2053,5002,4009,3002,10312,26.2,.00,0,20,524,0,524,40.26
1086,19960923,2075,5002,4024,3002,10312,6.2,.00,0,10,62,0,62,40.26
1063,19960924,2036,5002,4027,3002,10313,15.2,.00,0,12,182.4,0,182.4,1.96
1065,19960925,2032,5002,4007,3001,10314,25.6,.10,2.56,40,1024,102.4,921.6,74.16
1065,19960925,2058,5002,4004,3001,10314,10.6,.10,1.06,30,318,31.8,286.2,74.16
1065,19960925,2062,5002,4006,3001,10314,39.4,.10,3.94,25,985,98.5,886.5,74.16
1038,19960926,2034,5002,4002,3004,10315,11.2,.00,0,14,156.8,0,156.8,41.76
1038,19960926,2070,5002,4022,3004,10315,12,.00,0,30,360,0,360,41.76
1065,19960927,2041,5003,4017,3001,10316,7.7,.00,0,10,77,0,77,150.15
1065,19960927,2062,5003,4006,3001,10316,39.4,.00,0,70,2758,0,2758,150.15
1048,19960930,2001,5001,4005,3006,10317,14.4,.00,0,20,288,0,288,12.69
1038,19961001,2041,5002,4017,3008,10318,7.7,.00,0,20,154,0,154,4.73
1038,19961001,2076,5002,4012,3008,10318,14.4,.00,0,6,86.4,0,86.4,4.73
1080,19961002,2017,5003,4022,3007,10319,31.2,.00,0,8,249.6,0,249.6,64.5
1080,19961002,2028,5003,4024,3007,10319,36.4,.00,0,14,509.6,0,509.6,64.5
1080,19961002,2076,5003,4012,3007,10319,14.4,.00,0,30,432,0,432,64.5
1087,19961003,2071,5003,4020,3005,10320,17.2,.00,0,30,516,0,516,34.57
1038,19961003,2035,5002,4002,3003,10321,14.4,.00,0,10,144,0,144,3.43
1058,19961004,2052,5003,4009,3007,10322,5.6,.00,0,20,112,0,112,0.4
1039,19961007,2015,5001,4016,3004,10323,12.4,.00,0,5,62,0,62,4.88
1039,19961007,2025,5001,4011,3004,10323,11.2,.00,0,4,44.8,0,44.8,4.88
1039,19961007,2039,5001,4001,3004,10323,14.4,.00,0,4,57.6,0,57.6,4.88
1071,19961008,2016,5001,4022,3009,10324,13.9,.15,2.085,21,291.9,43.785,248.115,214.27
1071,19961008,2035,5001,4002,3009,10324,14.4,.15,2.16,70,1008,151.2,856.8,214.27
1071,19961008,2046,5001,4014,3009,10324,9.6,.00,0,30,288,0,288,214.27
1071,19961008,2059,5001,4008,3009,10324,44,.15,6.6,40,1760,264,1496,214.27
1071,19961008,2063,5001,4022,3009,10324,35.1,.15,5.265,80,2808,421.2,2386.8,214.27
1039,19961009,2006,5003,4010,3001,10325,20,.00,0,6,120,0,120,64.86
1039,19961009,2013,5003,4016,3001,10325,4.8,.00,0,12,57.6,0,57.6,64.86
1039,19961009,2014,5003,4016,3001,10325,18.6,.00,0,9,167.4,0,167.4,64.86
1039,19961009,2031,5003,4007,3001,10325,10,.00,0,4,40,0,40,64.86
1039,19961009,2072,5003,4007,3001,10325,27.8,.00,0,40,1112,0,1112,64.86
1008,19961010,2004,5002,4018,3004,10326,17.6,.00,0,24,422.4,0,422.4,77.92
1008,19961010,2057,5002,4021,3004,10326,15.6,.00,0,16,249.6,0,249.6,77.92
1008,19961010,2075,5002,4024,3004,10326,6.2,.00,0,50,310,0,310,77.92
1024,19961011,2002,5001,4005,3002,10327,15.2,.20,3.04,25,380,76,304,63.36
1024,19961011,2011,5001,4003,3002,10327,16.8,.20,3.36,50,840,168,672,63.36
1024,19961011,2030,5001,4019,3002,10327,20.7,.20,4.14,35,724.5,144.9,579.6,63.36
1024,19961011,2058,5001,4004,3002,10327,10.6,.20,2.12,30,318,63.6,254.4,63.36
1028,19961014,2059,5003,4008,3004,10328,44,.00,0,9,396,0,396,87.03
1028,19961014,2065,5003,4018,3004,10328,16.8,.00,0,40,672,0,672,87.03
1028,19961014,2068,5003,4026,3004,10328,10,.00,0,10,100,0,100,87.03
1075,19961015,2019,5002,4026,3004,10329,7.3,.05,0.365,10,73,3.65,69.35,191.67
1075,19961015,2030,5002,4019,3004,10329,20.7,.05,1.035,8,165.6,8.28,157.32,191.67
1075,19961015,2038,5002,4001,3004,10329,210.8,.05,10.54,20,4216,210.8,4005.2,191.67
1075,19961015,2056,5002,4021,3004,10329,30.4,.05,1.52,12,364.8,18.24,346.56,191.67
1046,19961016,2026,5001,4011,3003,10330,24.9,.15,3.735,50,1245,186.75,1058.25,12.75
1046,19961016,2072,5001,4007,3003,10330,27.8,.15,4.17,25,695,104.25,590.75,12.75
1009,19961016,2054,5001,4015,3009,10331,5.9,.00,0,15,88.5,0,88.5,10.19
1051,19961017,2018,5002,4022,3003,10332,50,.20,10,40,2000,400,1600,52.84
1051,19961017,2042,5002,4013,3003,10332,11.2,.20,2.24,10,112,22.4,89.6,52.84
1051,19961017,2047,5002,4029,3003,10332,7.6,.20,1.52,16,121.6,24.32,97.28,52.84
1087,19961018,2014,5003,4016,3005,10333,18.6,.00,0,10,186,0,186,0.59
1087,19961018,2021,5003,4026,3005,10333,8,.10,0.8,10,80,8,72,0.59
1087,19961018,2071,5003,4020,3005,10333,17.2,.10,1.72,40,688,68.8,619.2,0.59
